date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,date,hour,type,1246A,1247A,1248A
20191221,0,AQI,87,84,,20191222,0,AQI,33,32,,20191223,0,AQI,46,42,,20191224,0,AQI,25,19,20191225,0,AQI,46,57,
20191221,0,PM2.5,64,62,,20191222,0,PM2.5,15,22,,20191223,0,PM2.5,32,29,,20191224,0,PM2.5,17,13,20191225,0,PM2.5,30,40,
20191221,0,PM2.5_24h,47,47,,20191222,0,PM2.5_24h,28,25,,20191223,0,PM2.5_24h,16,18,,20191224,0,PM2.5_24h,30,31,20191225,0,PM2.5_24h,15,15,
20191221,0,PM10,91,82,,20191222,0,PM10,17,27,,20191223,0,PM10,46,28,,20191224,0,PM10,24,19,20191225,0,PM10,46,57,
20191221,0,PM10_24h,71,65,,20191222,0,PM10_24h,36,35,,20191223,0,PM10_24h,19,20,,20191224,0,PM10_24h,42,38,20191225,0,PM10_24h,22,22,
20191221,0,SO2,14,8,,20191222,0,SO2,2,6,,20191223,0,SO2,7,5,,20191224,0,SO2,3,5,20191225,0,SO2,3,4,
20191221,0,SO2_24h,7,10,,20191222,0,SO2_24h,5,7,,20191223,0,SO2_24h,2,6,,20191224,0,SO2_24h,4,8,20191225,0,SO2_24h,3,5,
20191221,0,NO2,69,63,,20191222,0,NO2,66,58,,20191223,0,NO2,57,43,,20191224,0,NO2,30,22,20191225,0,NO2,36,52,
20191221,0,NO2_24h,66,60,,20191222,0,NO2_24h,68,60,,20191223,0,NO2_24h,53,49,,20191224,0,NO2_24h,50,43,20191225,0,NO2_24h,32,27,
20191221,0,O3,3,,,20191222,0,O3,2,,,20191223,0,O3,3,,,20191224,0,O3,45,47,20191225,0,O3,24,6,
20191221,0,O3_24h,6,4,,20191222,0,O3_24h,9,1,,20191223,0,O3_24h,15,17,,20191224,0,O3_24h,48,47,20191225,0,O3_24h,60,57,
20191221,0,O3_8h,3,,,20191222,0,O3_8h,4,,,20191223,0,O3_8h,4,1,,20191224,0,O3_8h,35,35,20191225,0,O3_8h,33,27,
20191221,0,O3_8h_24h,5,3,,20191222,0,O3_8h_24h,4,,,20191223,0,O3_8h_24h,10,9,,20191224,0,O3_8h_24h,35,35,20191225,0,O3_8h_24h,52,51,
20191221,0,CO,1,1.1,,20191222,0,CO,1,1.4,,20191223,0,CO,1.2,0.9,,20191224,0,CO,1,0.7,20191225,0,CO,0.9,0.5,
20191221,0,CO_24h,0.9,1,,20191222,0,CO_24h,1,1.2,,20191223,0,CO_24h,1,0.9,,20191224,0,CO_24h,1.1,1,20191225,0,CO_24h,0.8,0.6,
20191221,1,AQI,80,79,,20191222,1,AQI,31,29,,20191223,1,AQI,46,43,,20191224,1,AQI,23,18,20191225,1,AQI,48,63,
20191221,1,PM2.5,59,58,,20191222,1,PM2.5,15,17,,20191223,1,PM2.5,32,30,,20191224,1,PM2.5,16,12,20191225,1,PM2.5,32,45,
20191221,1,PM2.5_24h,48,49,,20191222,1,PM2.5_24h,26,23,,20191223,1,PM2.5_24h,16,18,,20191224,1,PM2.5_24h,29,30,20191225,1,PM2.5_24h,16,16,
20191221,1,PM10,80,79,,20191222,1,PM10,18,23,,20191223,1,PM10,44,29,,20191224,1,PM10,22,18,20191225,1,PM10,48,64,
20191221,1,PM10_24h,72,67,,20191222,1,PM10_24h,33,33,,20191223,1,PM10_24h,20,21,,20191224,1,PM10_24h,41,38,20191225,1,PM10_24h,23,24,
20191221,1,SO2,9,7,,20191222,1,SO2,2,6,,20191223,1,SO2,11,6,,20191224,1,SO2,2,5,20191225,1,SO2,6,5,
20191221,1,SO2_24h,7,10,,20191222,1,SO2_24h,4,7,,20191223,1,SO2_24h,3,6,,20191224,1,SO2_24h,4,8,20191225,1,SO2_24h,3,5,
20191221,1,NO2,70,61,,20191222,1,NO2,62,58,,20191223,1,NO2,56,42,,20191224,1,NO2,34,22,20191225,1,NO2,37,41,
20191221,1,NO2_24h,67,60,,20191222,1,NO2_24h,68,60,,20191223,1,NO2_24h,53,48,,20191224,1,NO2_24h,49,42,20191225,1,NO2_24h,32,28,
20191221,1,O3,3,,,20191222,1,O3,2,,,20191223,1,O3,3,,,20191224,1,O3,37,46,20191225,1,O3,21,15,
20191221,1,O3_24h,6,4,,20191222,1,O3_24h,9,1,,20191223,1,O3_24h,15,17,,20191224,1,O3_24h,48,47,20191225,1,O3_24h,60,57,
20191221,1,O3_8h,3,,,20191222,1,O3_8h,2,,,20191223,1,O3_8h,3,,,20191224,1,O3_8h,37,46,20191225,1,O3_8h,21,15,
20191221,1,O3_8h_24h,3,,,20191222,1,O3_8h_24h,2,,,20191223,1,O3_8h_24h,3,,,20191224,1,O3_8h_24h,37,46,20191225,1,O3_8h_24h,21,15,
20191221,1,CO,1,1.1,,20191222,1,CO,1,1.2,,20191223,1,CO,1.3,1,,20191224,1,CO,1.1,0.7,20191225,1,CO,0.9,0.5,
20191221,1,CO_24h,0.9,1,,20191222,1,CO_24h,1,1.2,,20191223,1,CO_24h,1,0.9,,20191224,1,CO_24h,1.1,1,20191225,1,CO_24h,0.8,0.6,
20191221,2,AQI,77,73,,20191222,2,AQI,27,30,,20191223,2,AQI,45,52,,20191224,2,AQI,18,14,20191225,2,AQI,47,63,
20191221,2,PM2.5,56,53,,20191222,2,PM2.5,10,12,,20191223,2,PM2.5,31,36,,20191224,2,PM2.5,7,8,20191225,2,PM2.5,31,45,
20191221,2,PM2.5_24h,49,50,,20191222,2,PM2.5_24h,25,21,,20191223,2,PM2.5_24h,17,19,,20191224,2,PM2.5_24h,28,29,20191225,2,PM2.5_24h,17,17,
20191221,2,PM10,72,71,,20191222,2,PM10,12,20,,20191223,2,PM10,43,35,,20191224,2,PM10,10,11,20191225,2,PM10,47,63,
20191221,2,PM10_24h,72,68,,20191222,2,PM10_24h,31,30,,20191223,2,PM10_24h,21,21,,20191224,2,PM10_24h,40,37,20191225,2,PM10_24h,25,26,
20191221,2,SO2,10,8,,20191222,2,SO2,1,6,,20191223,2,SO2,9,14,,20191224,2,SO2,2,5,20191225,2,SO2,6,5,
20191221,2,SO2_24h,7,10,,20191222,2,SO2_24h,4,6,,20191223,2,SO2_24h,3,6,,20191224,2,SO2_24h,4,8,20191225,2,SO2_24h,4,5,
20191221,2,NO2,69,61,,20191222,2,NO2,54,59,,20191223,2,NO2,50,52,,20191224,2,NO2,22,22,20191225,2,NO2,41,43,
20191221,2,NO2_24h,67,61,,20191222,2,NO2_24h,67,60,,20191223,2,NO2_24h,53,48,,20191224,2,NO2_24h,47,41,20191225,2,NO2_24h,33,29,
20191221,2,O3,3,,,20191222,2,O3,3,,,20191223,2,O3,3,,,20191224,2,O3,57,44,20191225,2,O3,12,8,
20191221,2,O3_24h,6,4,,20191222,2,O3_24h,9,1,,20191223,2,O3_24h,15,17,,20191224,2,O3_24h,57,47,20191225,2,O3_24h,60,57,
20191221,2,O3_8h,3,,,20191222,2,O3_8h,2,,,20191223,2,O3_8h,3,,,20191224,2,O3_8h,47,45,20191225,2,O3_8h,16,12,
20191221,2,O3_8h_24h,3,,,20191222,2,O3_8h_24h,2,,,20191223,2,O3_8h_24h,3,,,20191224,2,O3_8h_24h,47,46,20191225,2,O3_8h_24h,21,15,
20191221,2,CO,1,1.1,,20191222,2,CO,0.7,1.1,,20191223,2,CO,1.3,1.1,,20191224,2,CO,1,0.6,20191225,2,CO,0.9,0.5,
20191221,2,CO_24h,0.9,1,,20191222,2,CO_24h,1,1.2,,20191223,2,CO_24h,1,0.9,,20191224,2,CO_24h,1.1,0.9,20191225,2,CO_24h,0.8,0.6,
20191221,3,AQI,75,58,,20191222,3,AQI,25,28,,20191223,3,AQI,49,53,,20191224,3,AQI,17,17,20191225,3,AQI,41,60,
20191221,3,PM2.5,55,41,,20191222,3,PM2.5,11,11,,20191223,3,PM2.5,34,37,,20191224,3,PM2.5,7,5,20191225,3,PM2.5,28,43,
20191221,3,PM2.5_24h,50,50,,20191222,3,PM2.5_24h,23,20,,20191223,3,PM2.5_24h,18,20,,20191224,3,PM2.5_24h,27,28,20191225,3,PM2.5_24h,18,19,
20191221,3,PM10,72,59,,20191222,3,PM10,12,18,,20191223,3,PM10,47,38,,20191224,3,PM10,10,8,20191225,3,PM10,41,59,
20191221,3,PM10_24h,73,69,,20191222,3,PM10_24h,28,29,,20191223,3,PM10_24h,23,22,,20191224,3,PM10_24h,38,36,20191225,3,PM10_24h,26,28,
20191221,3,SO2,9,7,,20191222,3,SO2,1,6,,20191223,3,SO2,8,14,,20191224,3,SO2,10,5,20191225,3,SO2,4,5,
20191221,3,SO2_24h,6,10,,20191222,3,SO2_24h,4,6,,20191223,3,SO2_24h,4,7,,20191224,3,SO2_24h,4,7,20191225,3,SO2_24h,3,5,
20191221,3,NO2,69,59,,20191222,3,NO2,50,56,,20191223,3,NO2,48,50,,20191224,3,NO2,25,16,20191225,3,NO2,38,49,
20191221,3,NO2_24h,68,61,,20191222,3,NO2_24h,66,60,,20191223,3,NO2_24h,53,48,,20191224,3,NO2_24h,46,40,20191225,3,NO2_24h,33,30,
20191221,3,O3,3,,,20191222,3,O3,4,,,20191223,3,O3,3,,,20191224,3,O3,53,54,20191225,3,O3,13,4,
20191221,3,O3_24h,6,4,,20191222,3,O3_24h,9,1,,20191223,3,O3_24h,15,17,,20191224,3,O3_24h,57,54,20191225,3,O3_24h,60,57,
20191221,3,O3_8h,3,,,20191222,3,O3_8h,3,,,20191223,3,O3_8h,3,,,20191224,3,O3_8h,49,48,20191225,3,O3_8h,15,9,
20191221,3,O3_8h_24h,3,,,20191222,3,O3_8h_24h,3,,,20191223,3,O3_8h_24h,3,,,20191224,3,O3_8h_24h,49,48,20191225,3,O3_8h_24h,21,15,
20191221,3,CO,1.1,1.2,,20191222,3,CO,0.7,1,,20191223,3,CO,1.3,1.2,,20191224,3,CO,0.8,0.6,20191225,3,CO,0.9,0.5,
20191221,3,CO_24h,0.9,1,,20191222,3,CO_24h,1,1.2,,20191223,3,CO_24h,1,0.9,,20191224,3,CO_24h,1.1,0.9,20191225,3,CO_24h,0.8,0.6,
20191221,4,AQI,53,51,,20191222,4,AQI,22,23,,20191223,4,AQI,53,53,,20191224,4,AQI,19,17,20191225,4,AQI,43,59,
20191221,4,PM2.5,37,33,,20191222,4,PM2.5,10,5,,20191223,4,PM2.5,37,37,,20191224,4,PM2.5,8,6,20191225,4,PM2.5,30,42,
20191221,4,PM2.5_24h,49,50,,20191222,4,PM2.5_24h,22,19,,20191223,4,PM2.5_24h,19,22,,20191224,4,PM2.5_24h,26,26,20191225,4,PM2.5_24h,18,21,
20191221,4,PM10,48,51,,20191222,4,PM10,11,14,,20191223,4,PM10,53,39,,20191224,4,PM10,12,10,20191225,4,PM10,43,58,
20191221,4,PM10_24h,72,69,,20191222,4,PM10_24h,27,27,,20191223,4,PM10_24h,24,23,,20191224,4,PM10_24h,37,35,20191225,4,PM10_24h,28,30,
20191221,4,SO2,7,7,,20191222,4,SO2,1,6,,20191223,4,SO2,6,15,,20191224,4,SO2,6,5,20191225,4,SO2,3,5,
20191221,4,SO2_24h,6,10,,20191222,4,SO2_24h,3,6,,20191223,4,SO2_24h,4,7,,20191224,4,SO2_24h,4,7,20191225,4,SO2_24h,3,5,
20191221,4,NO2,69,59,,20191222,4,NO2,44,46,,20191223,4,NO2,48,48,,20191224,4,NO2,18,15,20191225,4,NO2,33,50,
20191221,4,NO2_24h,68,61,,20191222,4,NO2_24h,65,59,,20191223,4,NO2_24h,53,48,,20191224,4,NO2_24h,45,38,20191225,4,NO2_24h,34,32,
20191221,4,O3,3,,,20191222,4,O3,7,1,,20191223,4,O3,3,,,20191224,4,O3,60,54,20191225,4,O3,19,1,
20191221,4,O3_24h,6,4,,20191222,4,O3_24h,9,1,,20191223,4,O3_24h,15,17,,20191224,4,O3_24h,60,54,20191225,4,O3_24h,57,57,
20191221,4,O3_8h,3,,,20191222,4,O3_8h,4,,,20191223,4,O3_8h,3,,,20191224,4,O3_8h,52,50,20191225,4,O3_8h,16,7,
20191221,4,O3_8h_24h,3,,,20191222,4,O3_8h_24h,4,,,20191223,4,O3_8h_24h,3,,,20191224,4,O3_8h_24h,52,50,20191225,4,O3_8h_24h,21,15,
20191221,4,CO,1,1.1,,20191222,4,CO,0.7,0.7,,20191223,4,CO,1.3,1.2,,20191224,4,CO,0.7,0.6,20191225,4,CO,0.9,0.5,
20191221,4,CO_24h,0.9,1,,20191222,4,CO_24h,1,1.2,,20191223,4,CO_24h,1.1,0.9,,20191224,4,CO_24h,1.1,0.9,20191225,4,CO_24h,0.8,0.6,
20191221,5,AQI,48,42,,20191222,5,AQI,26,25,,20191223,5,AQI,57,55,,20191224,5,AQI,18,18,20191225,5,AQI,41,62,
20191221,5,PM2.5,33,27,,20191222,5,PM2.5,6,,,20191223,5,PM2.5,40,39,,20191224,5,PM2.5,9,8,20191225,5,PM2.5,28,44,
20191221,5,PM2.5_24h,49,49,,20191222,5,PM2.5_24h,20,18,,20191223,5,PM2.5_24h,21,23,,20191224,5,PM2.5_24h,25,25,20191225,5,PM2.5_24h,19,22,
20191221,5,PM10,43,42,,20191222,5,PM10,6,9,,20191223,5,PM10,56,41,,20191224,5,PM10,13,12,20191225,5,PM10,41,61,
20191221,5,PM10_24h,71,68,,20191222,5,PM10_24h,25,26,,20191223,5,PM10_24h,26,25,,20191224,5,PM10_24h,35,33,20191225,5,PM10_24h,29,33,
20191221,5,SO2,5,7,,20191222,5,SO2,1,5,,20191223,5,SO2,5,14,,20191224,5,SO2,3,5,20191225,5,SO2,3,5,
20191221,5,SO2_24h,6,10,,20191222,5,SO2_24h,3,6,,20191223,5,SO2_24h,4,7,,20191224,5,SO2_24h,4,6,20191225,5,SO2_24h,3,5,
20191221,5,NO2,66,58,,20191222,5,NO2,52,50,,20191223,5,NO2,47,47,,20191224,5,NO2,19,13,20191225,5,NO2,33,50,
20191221,5,NO2_24h,68,61,,20191222,5,NO2_24h,64,59,,20191223,5,NO2_24h,53,48,,20191224,5,NO2_24h,44,37,20191225,5,NO2_24h,35,34,
20191221,5,O3,3,,,20191222,5,O3,2,,,20191223,5,O3,3,,,20191224,5,O3,57,55,20191225,5,O3,17,,
20191221,5,O3_24h,6,4,,20191222,5,O3_24h,9,1,,20191223,5,O3_24h,15,17,,20191224,5,O3_24h,60,55,20191225,5,O3_24h,54,57,
20191221,5,O3_8h,3,,,20191222,5,O3_8h,4,,,20191223,5,O3_8h,3,,,20191224,5,O3_8h,53,51,20191225,5,O3_8h,16,6,
20191221,5,O3_8h_24h,3,,,20191222,5,O3_8h_24h,4,,,20191223,5,O3_8h_24h,3,,,20191224,5,O3_8h_24h,53,51,20191225,5,O3_8h_24h,21,15,
20191221,5,CO,1,1.1,,20191222,5,CO,0.8,0.7,,20191223,5,CO,1.4,1.2,,20191224,5,CO,0.8,0.6,20191225,5,CO,0.9,0.5,
20191221,5,CO_24h,0.9,1,,20191222,5,CO_24h,1,1.2,,20191223,5,CO_24h,1.1,1,,20191224,5,CO_24h,1,0.9,20191225,5,CO_24h,0.8,0.6,
20191221,6,AQI,39,30,,20191222,6,AQI,26,25,,20191223,6,AQI,60,57,,20191224,6,AQI,18,18,20191225,6,AQI,41,52,
20191221,6,PM2.5,27,19,,20191222,6,PM2.5,4,,,20191223,6,PM2.5,43,40,,20191224,6,PM2.5,12,8,20191225,6,PM2.5,28,36,
20191221,6,PM2.5_24h,48,48,,20191222,6,PM2.5_24h,20,17,,20191223,6,PM2.5_24h,22,25,,20191224,6,PM2.5_24h,23,24,20191225,6,PM2.5_24h,20,23,
20191221,6,PM10,35,30,,20191222,6,PM10,4,6,,20191223,6,PM10,60,44,,20191224,6,PM10,16,12,20191225,6,PM10,41,53,
20191221,6,PM10_24h,70,66,,20191222,6,PM10_24h,24,25,,20191223,6,PM10_24h,29,26,,20191224,6,PM10_24h,33,32,20191225,6,PM10_24h,30,34,
20191221,6,SO2,6,7,,20191222,6,SO2,3,5,,20191223,6,SO2,5,11,,20191224,6,SO2,2,4,20191225,6,SO2,3,6,
20191221,6,SO2_24h,6,9,,20191222,6,SO2_24h,3,6,,20191223,6,SO2_24h,4,8,,20191224,6,SO2_24h,4,6,20191225,6,SO2_24h,3,5,
20191221,6,NO2,64,58,,20191222,6,NO2,52,49,,20191223,6,NO2,47,43,,20191224,6,NO2,19,14,20191225,6,NO2,32,48,
20191221,6,NO2_24h,68,61,,20191222,6,NO2_24h,64,58,,20191223,6,NO2_24h,53,48,,20191224,6,NO2_24h,43,36,20191225,6,NO2_24h,35,35,
20191221,6,O3,3,,,20191222,6,O3,2,,,20191223,6,O3,3,,,20191224,6,O3,53,57,20191225,6,O3,18,1,
20191221,6,O3_24h,6,4,,20191222,6,O3_24h,9,1,,20191223,6,O3_24h,15,17,,20191224,6,O3_24h,60,57,20191225,6,O3_24h,54,57,
20191221,6,O3_8h,3,,,20191222,6,O3_8h,3,,,20191223,6,O3_8h,3,,,20191224,6,O3_8h,53,52,20191225,6,O3_8h,17,5,
20191221,6,O3_8h_24h,3,,,20191222,6,O3_8h_24h,4,,,20191223,6,O3_8h_24h,3,,,20191224,6,O3_8h_24h,53,52,20191225,6,O3_8h_24h,21,15,
20191221,6,CO,0.9,1.1,,20191222,6,CO,0.9,0.7,,20191223,6,CO,1.4,1.3,,20191224,6,CO,0.8,0.6,20191225,6,CO,0.9,0.5,
20191221,6,CO_24h,0.9,1.1,,20191222,6,CO_24h,1,1.2,,20191223,6,CO_24h,1.1,1,,20191224,6,CO_24h,1,0.8,20191225,6,CO_24h,0.8,0.6,
20191221,7,AQI,33,29,,20191222,7,AQI,25,23,,20191223,7,AQI,58,48,,20191224,7,AQI,18,15,20191225,7,AQI,40,50,
20191221,7,PM2.5,23,15,,20191222,7,PM2.5,5,7,,20191223,7,PM2.5,41,33,,20191224,7,PM2.5,12,10,20191225,7,PM2.5,27,33,
20191221,7,PM2.5_24h,47,46,,20191222,7,PM2.5_24h,19,17,,20191223,7,PM2.5_24h,24,26,,20191224,7,PM2.5_24h,22,23,20191225,7,PM2.5_24h,20,24,
20191221,7,PM10,30,26,,20191222,7,PM10,6,10,,20191223,7,PM10,56,38,,20191224,7,PM10,16,15,20191225,7,PM10,40,50,
20191221,7,PM10_24h,68,65,,20191222,7,PM10_24h,23,24,,20191223,7,PM10_24h,31,27,,20191224,7,PM10_24h,31,31,20191225,7,PM10_24h,31,36,
20191221,7,SO2,4,6,,20191222,7,SO2,3,5,,20191223,7,SO2,4,8,,20191224,7,SO2,2,5,20191225,7,SO2,3,5,
20191221,7,SO2_24h,6,9,,20191222,7,SO2_24h,3,6,,20191223,7,SO2_24h,4,8,,20191224,7,SO2_24h,4,6,20191225,7,SO2_24h,3,5,
20191221,7,NO2,65,58,,20191222,7,NO2,49,45,,20191223,7,NO2,51,39,,20191224,7,NO2,26,19,20191225,7,NO2,43,49,
20191221,7,NO2_24h,68,62,,20191222,7,NO2_24h,63,58,,20191223,7,NO2_24h,53,47,,20191224,7,NO2_24h,42,35,20191225,7,NO2_24h,36,36,
20191221,7,O3,3,,,20191222,7,O3,4,2,,20191223,7,O3,3,,,20191224,7,O3,43,47,20191225,7,O3,7,,
20191221,7,O3_24h,6,4,,20191222,7,O3_24h,9,2,,20191223,7,O3_24h,15,17,,20191224,7,O3_24h,60,57,20191225,7,O3_24h,54,57,
20191221,7,O3_8h,3,,,20191222,7,O3_8h,3,,,20191223,7,O3_8h,3,,,20191224,7,O3_8h,51,51,20191225,7,O3_8h,15,4,
20191221,7,O3_8h_24h,3,,,20191222,7,O3_8h_24h,4,,,20191223,7,O3_8h_24h,3,,,20191224,7,O3_8h_24h,53,52,20191225,7,O3_8h_24h,21,15,
20191221,7,CO,0.9,1.1,,20191222,7,CO,0.8,0.8,,20191223,7,CO,1.4,1.3,,20191224,7,CO,0.8,0.7,20191225,7,CO,1,0.5,
20191221,7,CO_24h,0.9,1.1,,20191222,7,CO_24h,0.9,1.1,,20191223,7,CO_24h,1.1,1,,20191224,7,CO_24h,1,0.8,20191225,7,CO_24h,0.8,0.6,
20191221,8,AQI,33,29,,20191222,8,AQI,24,21,,20191223,8,AQI,60,62,,20191224,8,AQI,18,13,20191225,8,AQI,44,51,
20191221,8,PM2.5,23,13,,20191222,8,PM2.5,6,7,,20191223,8,PM2.5,43,44,,20191224,8,PM2.5,12,9,20191225,8,PM2.5,29,34,
